;Project;LinkToMavenRepository;GitHubRepository;Folder;NumberOfPackages;NumberOfClasses
55;org.springframework/spring-aop;http://mvnrepository.com/artifact/org.springframework/spring-aop;https://github.com/spring-projects/spring-framework;spring-aop/src/main/java;21;205
56;org.springframework/spring-beans;http://mvnrepository.com/artifact/org.springframework/spring-beans;https://github.com/spring-projects/spring-framework;spring-beans/src/main/java/org;16;278
57;org.springframework/spring-context;http://mvnrepository.com/artifact/org.springframework/spring-context;https://github.com/spring-projects/spring-framework;spring-context/src/main/java/org;69;558
58;org.springframework/spring-context-support;http://mvnrepository.com/artifact/org.springframework/spring-context-support;https://github.com/spring-projects/spring-framework;spring-context-support/src/main/java;17;99
59;org.springframework/spring-core;http://mvnrepository.com/artifact/org.springframework/spring-core;https://github.com/spring-projects/spring-framework;spring-core/src/main/java/org;34;463
60;org.springframework/spring-jdbc;http://mvnrepository.com/artifact/org.springframework/spring-jdbc;https://github.com/spring-projects/spring-framework;spring-jdbc/src/main/java;20;208
61;org.springframework/spring-test;http://mvnrepository.com/artifact/org.springframework/spring-test;https://github.com/spring-projects/spring-framework;spring-test/src/main/java/org;47;274
62;org.springframework/spring-tx;http://mvnrepository.com/artifact/org.springframework/spring-tx;https://github.com/spring-projects/spring-framework;spring-tx/src/main/java;23;159
63;org.springframework/spring-web;http://mvnrepository.com/artifact/org.springframework/spring-web;https://github.com/spring-projects/spring-framework;spring-web/src/main/java/org;57;607
64;org.testng/testng;http://mvnrepository.com/artifact/org.testng/testng;https://github.com/cbeust/testng;src/main/java/org;25;384
65;xerces/xercesImpl;http://mvnrepository.com/artifact/xerces/xercesImpl;https://github.com/apache/xerces2-j;src;49;801
