"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L7841","JsonAdapterAnnotationOnClassesTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnClassesTest.java","L7819","3","0","3","7","209","264"
"L7842","JsonAdapterAnnotationOnFieldsTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java","L7819","3","0","3","8","250","307"
"L7843","JsonAdapterSerializerDeserializerTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterSerializerDeserializerTest.java","L7819","1","0","1","3","125","165"
"L7844","JsonArrayTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonArrayTest.java","L7819","1","0","1","8","104","163"
"L7845","JsonParserTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonParserTest.java","L7819","6","0","1","8","104","144"
"L7846","JsonTreeTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JsonTreeTest.java","L7819","4","0","1","4","73","90"
"L7847","LeniencyTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/LeniencyTest.java","L7819","1","0","1","1","22","47"
"L7848","MapAsArrayTypeAdapterTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/MapAsArrayTypeAdapterTest.java","L7819","5","0","0","7","109","142"
"L7849","MapTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/MapTest.java","L7819","6","0","8","41","518","655"
"L7850","MoreSpecificTypeSerializationTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/MoreSpecificTypeSerializationTest.java","L7819","1","0","4","3","127","179"
"L7851","NamingPolicyTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/NamingPolicyTest.java","L7819","2","0","2","15","151","204"
"L7852","NullObjectAndFieldTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/NullObjectAndFieldTest.java","L7819","2","0","4","15","180","241"
