"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L2885","SqlDateTypeAdapter$1","com.google.gson.internal.bind.SqlDateTypeAdapter$1","L2875","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/SqlDateTypeAdapter.java","39","77","45","4","0","0","0","0","0","0","0","0","1","0","0","2","5","0","0","0","1","0","0.125","1","0","0","2","0.125","1","1","1","0","0","1","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L2915","TimeTypeAdapter$1","com.google.gson.internal.bind.TimeTypeAdapter$1","L2905","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TimeTypeAdapter.java","41","77","46","4","0","0","0","0","0","0","0","0","1","0","0","2","5","0","0","0","1","0","0.142857","1","0","0","2","0.142857","1","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L2983","TreeTypeAdapter$SingleTypeFactory","com.google.gson.internal.bind.TreeTypeAdapter$SingleTypeFactory","L2336","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java","119","3","151","4","0","0","0","0","0","0","0","0","1","0","0","9","8","1","3","5","7","0","0.03125","1","0","0","2","0.03125","1","1","1","0","0","1","31","33","5","0","5","0","2","0","1","0","2","8","0","1","0","31","33","5","0","5","0","2","0","1","0","2","8","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0"
"L2951","TreeTypeAdapter$GsonContextImpl","com.google.gson.internal.bind.TreeTypeAdapter$GsonContextImpl","L2336","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java","153","3","164","4","0","0","0","0","0","0","0","0","3","0","0","3","6","1","0","3","6","0","0","0","0","0","4","0","0","1","2","0","0","2","12","12","0","0","0","0","3","0","3","0","3","3","0","3","0","12","12","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","11","0","0","0","0","0","1","0","0","0","9","0","0","1","0","0","0","0","0"
"L3074","TypeAdapters$1","com.google.gson.internal.bind.TypeAdapters$1","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","69","75","80","4","0","0","0","0","0","0","0","0","2","0","0","2","3","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","12","12","0","0","0","0","2","0","2","0","9","2","0","9","0","12","12","0","0","0","0","2","0","2","0","9","2","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3094","TypeAdapters$2","com.google.gson.internal.bind.TypeAdapters$2","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","84","79","129","4","0","0","0","0","0","0","0","0","2","3","3","10","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","45","46","0","0","0","0","2","0","2","0","9","30","0","9","0","45","46","0","0","0","0","2","0","2","0","9","30","0","9","0","0","0","8","1","1","2","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3121","TypeAdapters$3","com.google.gson.internal.bind.TypeAdapters$3","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","133","81","150","4","0","0","0","0","0","0","0","0","2","2","1","4","4","0","0","0","2","0","0.0555556","1","0","0","3","0.0555556","1","1","1","0","0","1","17","18","0","0","0","0","2","0","2","0","9","8","0","9","0","17","18","0","0","0","0","2","0","2","0","9","8","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3133","TypeAdapters$4","com.google.gson.internal.bind.TypeAdapters$4","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","156","91","168","4","0","0","0","0","0","0","0","0","2","1","1","4","4","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","12","13","0","0","0","0","2","0","2","0","9","5","0","9","0","12","13","0","0","0","0","2","0","2","0","9","5","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3152","TypeAdapters$5","com.google.gson.internal.bind.TypeAdapters$5","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","173","76","191","4","0","0","0","0","0","0","0","0","2","1","1","4","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","19","19","0","0","0","0","2","0","2","0","9","8","0","9","0","19","19","0","0","0","0","2","0","2","0","9","8","0","9","0","0","0","8","0","1","0","0","1","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L3170","TypeAdapters$6","com.google.gson.internal.bind.TypeAdapters$6","L3067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","196","77","213","4","0","0","0","0","0","0","0","0","2","1","1","4","5","0","0","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","18","18","0","0","0","0","2","0","2","0","9","7","0","9","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
